2021-10-29 11:03:38.633 [main-120] INFO  com.pageobject.testcase.CeshirenPOCodeSearchPageTest2.startMethod - 当前用例测试执行方法为{ get_title2 }
2021-10-29 11:03:38.633 [main-126] INFO  com.pageobject.testcase.CeshirenPOCodeSearchPageTest2.lambda$null$0 - 第{ 1 }条测试用例开始执行
2021-10-29 11:03:39.185 [main-83] INFO  com.framework.basetest.BaseTestCaseExcutor.lambda$null$5 - 测试用例执行结果为{ 新闻 }
2021-10-29 11:03:39.186 [main-116] INFO  com.framework.basetest.BaseTestCaseExcutor.lambda$null$4 - 用例开始添加断言内容
2021-10-29 11:03:39.186 [main-117] INFO  com.framework.basetest.BaseTestCaseExcutor.lambda$null$4 - 实际结果为{ 新闻 }
2021-10-29 11:03:39.187 [main-118] INFO  com.framework.basetest.BaseTestCaseExcutor.lambda$null$4 - 期望结果为{ 新闻 }
2021-10-29 11:03:39.187 [main-120] INFO  com.framework.basetest.BaseTestCaseExcutor.lambda$null$4 - 添加断言结束
2021-10-29 11:03:39.188 [main-131] INFO  com.pageobject.testcase.CeshirenPOCodeSearchPageTest2.startMethod - 方法{ get_title2 }测试用例执行结束
2021-10-29 11:03:39.193 [main-77] INFO  com.pageobject.testcase.CeshirenPOCodeSearchPageTest2.tearDown - 项目模块{ CeshirenPOCodeSearchPageTest2 }共执行{ 3 }条用例，测试用例开始统一断言
2021-10-29 11:03:39.202 [main-79] INFO  com.pageobject.testcase.CeshirenPOCodeSearchPageTest2.tearDown - 统一断言结束
2021-10-29 11:03:39.203 [main-80] INFO  com.pageobject.testcase.CeshirenPOCodeSearchPageTest2.tearDown - 开始释放资源
2021-10-29 11:03:42.402 [main-146] INFO  com.framework.basedriver.BaseDriver.closeBrowser - chrome浏览器已成功关闭！
2021-10-29 11:03:42.403 [main-84] INFO  com.pageobject.testcase.CeshirenPOCodeSearchPageTest2.tearDown - 释放资源结束
2021-10-29 11:03:42.409 [main-51] INFO  com.pageobject.testcase.CeshirenPOCodeSearchPageTest.init - 项目模块{ CeshirenPOCodeSearchPageTest }测试用例开始执行
2021-10-29 11:03:42.409 [main-71] INFO  com.framework.basepage.BaseBrowser.<init> - 开始加载浏览器配置信息
2021-10-29 11:03:42.409 [main-80] INFO  com.framework.basepage.BaseBrowser.<init> - browserName=chrome
2021-10-29 11:03:42.410 [main-81] INFO  com.framework.basepage.BaseBrowser.<init> - terminal=pc
2021-10-29 11:03:42.410 [main-82] INFO  com.framework.basepage.BaseBrowser.<init> - deviceName=desktop
2021-10-29 11:03:42.410 [main-83] INFO  com.framework.basepage.BaseBrowser.<init> - remotePort=4444
2021-10-29 11:03:42.411 [main-84] INFO  com.framework.basepage.BaseBrowser.<init> - remoteIP=
2021-10-29 11:03:42.411 [main-85] INFO  com.framework.basepage.BaseBrowser.<init> - browserVersion=
2021-10-29 11:03:44.024 [main-110] INFO  com.framework.basedriver.BaseDriver.startBrowser - 浏览器：chrome 成功启动！
2021-10-29 11:03:44.026 [main-89] INFO  com.framework.basepage.BaseBrowser.<init> - BBBrowser=ChromeDriver: chrome on MAC (1fc185ec364e4426d49abf065883a18b)
2021-10-29 11:03:44.027 [main-90] INFO  com.framework.basepage.BaseBrowser.<init> - BBBbaseDriver=com.framework.basedriver.BaseDriver@325bb9a6
2021-10-29 11:03:44.028 [main-91] INFO  com.framework.basepage.BaseBrowser.<init> - 加载配置信息结束
2021-10-29 11:03:49.061 [main-126] INFO  com.pageobject.testcase.CeshirenPOCodeSearchPageTest.startMethod - 当前用例测试执行方法为{ get_first_title }
2021-10-29 11:03:49.062 [main-132] INFO  com.pageobject.testcase.CeshirenPOCodeSearchPageTest.lambda$null$0 - 第{ 1 }条测试用例开始执行
2021-10-29 11:03:51.119 [main-83] INFO  com.framework.basetest.BaseTestCaseExcutor.lambda$null$5 - 测试用例执行结果为{ 中高级测试开发「名企定向」培养计划，内推 BAT 大厂，还有万元奖学金等你拿！ }
2021-10-29 11:03:51.120 [main-110] INFO  com.framework.basetest.BaseTestCaseExcutor.lambda$null$4 - 用例开始添加断言内容
2021-10-29 11:03:51.120 [main-111] INFO  com.framework.basetest.BaseTestCaseExcutor.lambda$null$4 - 实际结果为{ 中高级测试开发「名企定向」培养计划，内推 BAT 大厂，还有万元奖学金等你拿！ }
2021-10-29 11:03:51.120 [main-112] INFO  com.framework.basetest.BaseTestCaseExcutor.lambda$null$4 - 期望结果包含字段{ 名企 }
2021-10-29 11:03:51.121 [main-114] INFO  com.framework.basetest.BaseTestCaseExcutor.lambda$null$4 - 添加断言结束
2021-10-29 11:03:51.121 [main-132] INFO  com.pageobject.testcase.CeshirenPOCodeSearchPageTest.lambda$null$0 - 第{ 2 }条测试用例开始执行
2021-10-29 11:03:52.865 [main-83] INFO  com.framework.basetest.BaseTestCaseExcutor.lambda$null$5 - 测试用例执行结果为{ 中高级测试开发「名企定向」培养计划，内推 BAT 大厂，还有万元奖学金等你拿！ }
2021-10-29 11:03:52.872 [main-110] INFO  com.framework.basetest.BaseTestCaseExcutor.lambda$null$4 - 用例开始添加断言内容
2021-10-29 11:03:52.872 [main-111] INFO  com.framework.basetest.BaseTestCaseExcutor.lambda$null$4 - 实际结果为{ 中高级测试开发「名企定向」培养计划，内推 BAT 大厂，还有万元奖学金等你拿！ }
2021-10-29 11:03:52.882 [main-112] INFO  com.framework.basetest.BaseTestCaseExcutor.lambda$null$4 - 期望结果包含字段{ 名企 }
